rail_key,kind,corpus,n
setbackCornerFt,not-applicable,no-source,50419
setbackCornerFt,refused,no-source,1934
setbackCornerFt,unaccounted,no-source,1313
setbackCornerFt,value,at-pin,8590
setbackFrontFt,not-applicable,no-source,50419
setbackFrontFt,refused,no-source,1934
setbackFrontFt,unaccounted,no-source,1313
setbackFrontFt,value,at-pin,8590
setbackRearFt,not-applicable,no-source,50419
setbackRearFt,refused,no-source,1934
setbackRearFt,unaccounted,no-source,1313
setbackRearFt,value,at-pin,8590
setbackRules,not-applicable,no-source,50419
setbackRules,refused,no-source,1934
setbackRules,unaccounted,no-source,1313
setbackRules,value,at-pin,8590
setbackSideFt,not-applicable,no-source,50419
setbackSideFt,refused,no-source,1934
setbackSideFt,unaccounted,no-source,1313
setbackSideFt,value,at-pin,8590
